"C1-T","Crime","Police","Prison","Poverty","Dropout"
"Florida",8358,"382",369,15.3,14.3
"Texas",7058,"260",381,17.8,12.9
"Arizona",7029,"366",415,15.1,14.4
"California",6679,"454",355,15.8,14.2
"Louisiana",6546,"256",505,24.2,12.5
"NewMexico",6434,"293",205,21,11.7
"Georgia",6405,"267",382,17.8,14.1
"Maryland",6225,"348",385,11.6,10.9
"Nevada",6204,"454",457,14.4,15.2
"Washington",6173,"327",197,11,10.6
"Hawaii",6112,"352",168,11,7.5
"Colorado",5959,"303",258,10.6,9.800000000000001
"SouthCarolina",5893,"241",489,18.9,7.7
"NewYork",5858,"497",351,15.3,9.9
"Oregon",5821,"286",172,11.3,11.8
"NorthCarolina",5802,"235",295,15.7,12.5
"Illinois",5765,"280",282,15.3,10.6
"Utah",5659,"219",152,9.300000000000001,8.699999999999999
"Michigan",5611,"316",420,13.5,10
"Alaska",5570,"623",320,10,10.9
"Oklahoma",5432,"194",483,18.4,10.4
"Kansas",5320,"240",244,11,8.699999999999999
"Alabama",5268,"199",426,17.1,12.6
"Tennessee",5136,"226",247,17,13.4
"Missouri",5097,"136",315,15.6,11.4
"NewJersey",5064,"369",292,10,9.6
"Connecticut",5053,"333",275,9.4,9
"Massachusetts",5003,"297",16,10,8.5
"Indiana",4687,"181",246,11.7,11.4
"Ohio",4666,"262",359,12.4,8.9
"Minnesota",4591,"241",90,12.8,6.4
"Montana",4596,"210",175,13.7,8.1
"RhodeIsland",4578,"302",167,12,11.1
"Delaware",4848,"375",392,7.6,10.4
"Arkansas",4762,"153",344,17.4,11.4
"Wyoming",4575,"319",223,10.3,6.9
"Nebraska",4324,"194",153,10.3,7
"Wisconsin",4319,"294",175,10.8,7.1
"Virginia",4299,"266",335,9.4,10
"Mississippi",4282,"136",356,24.5,11.8
"Idaho",3996,"220",199,15,10.4
"Iowa",3957,"161",166,11.3,6.6
"Maine",3524,"201",11,13.4,8.300000000000001
"Vermont",3410,"207",152,10.4,8
"Pennsylvania",3393,"245",212,11.7,9.1
"Kentucky",3324,"192",277,19.7,13.3
"NewHampshire",3081,"241",158,8.6,9.4
"SouthDakota",2999,"170",214,14.8,7.7
"NorthDakota",2903,"155",69,11.9,4.6
"WestVirginia",2610,"117",102,22.3,10.9
